variant,prompt,response
A,"Product description: A pair of shoes that can fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. OmniSole
2. AdaptiFlex
3. FitFlex Shoes
4. All-Fit Footwear
5. SizeAdapto Shoes"
A,"Product description: A pair of shoes that can fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. OmniFit Shoes
2. AdaptFit Footwear
3. VersaFit Boots
4. CustomFlex Sneakers
5. InfiniteFit Footgear"
A,"Product description: A pair of shoes that can fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. OmniStep Shoes
2. AdaptiFit Footwear
3. Universal Fit Sneakers
4. SizeFlex Shoes
5. OmniComfort Footwear"
A,"Product description: A pair of shoes that can fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. OmniComfort Shoes
2. FitFlex Footwear
3. AdaptaFit Sneakers
4. Omnilastic Boots
5. FlexiFit Footgear"
A,"Product description: A pair of shoes that can fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. FitAll
2. OmniFootwear
3. AdaptSole
4. VersaFit
5. SureFit Shoes
6. FlexiFit Footwear
7. OneSize Fits All Shoes
8. CustomFit Footwear
9. Universal Sole
10. AllFit Footwear"
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake Maker

Product description: A watch that can tell accurate time in space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate, EliptoTime.

Product description: A pair of shoes that can fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","AdaptiFit Shoes, OmniFit Footwear, SizeFlex Sneakers, FitAll Shoes"
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake Maker

Product description: A watch that can tell accurate time in space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate, EliptoTime.

Product description: A pair of shoes that can fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:"," ShoeFlex, FitWear, OmniFit, AdaptoFeet"
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake Maker

Product description: A watch that can tell accurate time in space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate, EliptoTime.

Product description: A pair of shoes that can fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","FootFlex, OmniFit, AdaptiShoe, FitEase"
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake Maker

Product description: A watch that can tell accurate time in space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate, EliptoTime.

Product description: A pair of shoes that can fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","AdaptaShoes, FitFlex, SizeMate, OmniFitSole."
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake Maker

Product description: A watch that can tell accurate time in space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate, EliptoTime.

Product description: A pair of shoes that can fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","FitFlex Shoes, AdaptiFit Sneakers, OmniSize Footwear, UniversalFit Shoes"
